Unnamed: 0.1,resturant_name,customer_name,customer_reviews_number,customer_reviews_date,comments,number_number_of_star
362,Port 19,Take this.,3.0,03/12/2018,"The burger is delicious to Allah! The atmosphere in the restaurant is pleasant, great music. And the price is round, the business includes chips and drinks at no extra charge.",5.0
363,Port 19,They were a,11.0,19/07/2020,The burgers ordered were good and arrived quickly and on time. As for the fries I liked less.,5.0
364,Port 19,Boy A.,3.0,30/07/2020,"Wow. Great service, very tasty food, short wait. In short highly recommended!",5.0
365,Port 19,granddaughter A.,88.0,25/05/2021,Hamburger Wow !! Really really delicious,5.0
366,Port 19,Ron T.,1.0,23/04/2018,"Great burger! Good place with good atmosphere, fair prices and great service! Do not give up if you are in the area!",5.0
367,Port 19,Yevgeni A.,8.0,07/06/2019,"Cheap, tasty, the meat itself is relatively good. A more hygienic place than the rest of the burgers in its style.",5.0
368,Port 19,Shir G.,8.0,07/08/2021,"Poor service, medium minus burger, and lamb bacon made like a cheap sausage from the super",1.0
369,Port 19,Gal m.,1.0,29/08/2021,Delicious,5.0
370,Port 19,Titan Y.,1.0,22/06/2018,Excellent place with a waste of time and food on a level and in addition to any lethal price I highly recommend not to miss,5.0
371,Port 19,Maya C.,21.0,16/05/2019,One of the best burgers in Tel Aviv. Amazing patty with great toppings! Delicious every time again 😊,4.0
372,Port 19,Amit V.,2.0,21/12/2019,"Nice + good and warm atmosphere, delicious food. Good service",4.0
373,Port 19,Roy S.,1.0,24/04/2019,"The meat is very high quality, the place is small and feels very homey, the prices are reasonable. warmly recommended!",5.0
374,Port 19,Tamar T.,3.0,09/08/2019,"Was delicious but not similar to commercials in any way. We're building a crazy expectation about the place and it's not really what's actually happening, I would love to go back there but there are better places.",3.0
375,Port 19,Eran E.,1.0,31/05/2019,"Stunning! Really just a treat for the palate, and also cheap because there are no waiters. Everything is just delicious",5.0
376,Port 19,guy m.,1.0,29/08/2018,"The food was delicious, a low variety of sauces and the service was good and patient",4.0
377,Port 19,Einav M.,1.0,03/08/2019,The hamburger we built and down does not recommend at all the place is dirty and there is no work order. big disappointment.,1.0
378,Port 19,Amir N.,2.0,04/09/2020,Food bomb Good service Convenient place .. Great place,5.0
379,Port 19,David n.,4.0,13/06/2020,Amazing place Highly highly recommend.,4.0
380,Port 19,Elijah V.,1.0,31/05/2019,"Wow, delicious at a backward level Excellent service, at a reasonable price worth every shekel",5.0
381,Port 19,Amiel L.,3.0,18/10/2019,"Good food, good service, good place",4.0
382,Port 19,Mattykrt2,2.0,17/12/2018,"Calm atmosphere, great staff and a nice place to sit. Good and fast food, recommended to visit",5.0
383,Port 19,With me a.,1.0,11/10/2020,Top 3 burgers in Tel Aviv,5.0
384,Port 19,Ariel B.,67.0,07/01/2019,"Among the best burgers in the country, good prices and nice service. Worth!",5.0
385,Port 19,DanielR.,1.0,12/09/2020,Great burgers highly recommend!,5.0
386,Port 19,Eden L.,1.0,31/12/2019,Hamburger experience! The best I've tasted to date.,5.0
387,Port 19,Elia M.,2.0,04/03/2019,I was happy to see the staff in the audience as I moved their attention to training,5.0
388,Port 19,Eviatar H.,3.0,25/12/2018,"Was nice, the degree of doing was not good. Was supposed to be a medium but was a rare medium, I was hungry so I already ate like that",3.0
389,Port 19,sarit a.,1.0,18/12/2019,No answer We called at least 5 times! Really disappointing,1.0
390,Port 19,Shajar E.,4.0,11/08/2019,Amazing place the best burger I ate ed today,5.0
391,Port 19,Steve S.,10.0,20/09/2020,It was amazing! as usual!,5.0
392,Port 19,Nasimi N.,1.0,05/05/2019,Was no less than perfectly delicious and insanely highly recommend,5.0
393,Port 19,Tom N.,2.0,24/07/2018,Great place .. great food and great atmosphere. Fair prices,5.0
394,Port 19,Tal H.,62.0,16/08/2019,"Awesome burger, one of the best I have eaten.",5.0
395,Port 19,Lior A.,2.0,14/09/2020,There was a missile,5.0
396,Port 19,Ellie S.,3.0,27/12/2018,"A bomb of food. We enjoyed very much, and the food was served quickly",5.0
397,Port 19,Natalie S.,3.0,25/11/2018,"Really nice food, good hamburger, great service :)",4.0
398,Port 19,Doron L.,2.0,09/09/2019,Delicious! Service not a hit.,4.0
399,Port 19,Coral So.,46.0,01/04/2020,Just delicious !!!,4.0
400,Port 19,Harel Z.,2.0,20/01/2019,Simple street food is excellent and delightful to come hungry,5.0
401,Port 19,Lior K.,2.0,25/08/2019,An excellent hamburger and a cool place,5.0
402,Port 19,Harel c.,5.0,09/07/2019,The most delicious hamburger I have ever eaten,5.0
403,Port 19,Ifat K.,6.0,07/03/2019,DAMN (amazing) recommended Swiss,5.0
404,Port 19,Oriel S.,3.0,31/07/2019,"Excellent meat, fair price",5.0
405,Port 19,my age a.,1.0,23/04/2019,Excellent food. Excellent service,5.0
406,Port 19,Mr. Lior,3.0,23/12/2018,Juicy and delicious hamburger. recommended,5.0
407,Port 19,Anat A.,1.0,04/02/2020,Excellent,5.0
408,Port 19,David S.,6.0,20/09/2019,Really tasty and fun,5.0
409,Port 19,Tal F.,51.0,24/08/2019,Very tasty and cheap,5.0
410,Port 19,Aviv r.,1.0,04/11/2019,It was amazing,5.0
411,Port 19,Nitzan T.,1.0,23/12/2018,Great experience delicious food,5.0
412,Port 19,Tal H.,2.0,15/10/2020,Sauces are not something .. like the amusement park of the 80s,3.0
413,Port 19,Matan R.,1.0,18/08/2019,Delicious and scary,5.0
414,Port 19,Shmuel P.,1.0,18/12/2018,Perfect food at a fair price,5.0
415,Port 19,Tair H.,2.0,23/12/2018,Good price quality meat,5.0
416,Port 19,Ido n.,1.0,18/08/2019,Excellent.,5.0
417,Port 19,Yuval S.,1.0,22/08/2018,"Insanely delicious, highly recommended !!",5.0
418,Port 19,Motty K.,5.0,15/04/2018,"A wonderful experience, very tasty",5.0
419,Port 19,Tal R.,1.0,14/05/2019,The end of the road burger,4.0
420,Port 19,eliran S.,4.0,08/10/2018,Cool place good service hamburger was not a good day,3.0
421,Port 19,Sara S.,3.0,22/07/2019,rare,5.0
422,Port 19,Amit S.,3.0,21/07/2019,tasty,5.0
423,Port 19,Dominate,219.0,11/03/2018,A delicious and high-quality hamburger.,4.0
424,Port 19,Moran m.,3.0,23/03/2019,Just delicious,5.0
425,Port 19,Chen b.,1.0,21/01/2019,Just delicious!,5.0
426,Port 19,Lihi S.,3.0,25/04/2019,Delicious,5.0
427,Port 19,Orly M.,2.0,10/03/2019,tasty!!!,5.0
428,Port 19,Frog.,8.0,16/09/2018,It was tasty,5.0
429,Port 19,sorry t.,1.0,13/05/2018,Great burger,5.0
430,Port 19,Yuval M.,2.0,17/05/2019,tasty,4.0
431,Port 19,Adi Ezra,,27/06/2021,Excellent burgers and quality Alan Talmore hot dogs,
432,Port 19,Matan Sharon,,16/07/2020,Oi Wagyu: The Disappointing Special of Fort 19,
433,Port 19,Avi Gabay,,30/09/2019,We found a solution to Saturday's hunger problem,
434,Port 19,Dana Rosenfarb,,26/08/2019,What did Dana find out about Walt's service and burgers?,
435,Port 19,Hadar Ben Yaakov,,08/06/2019,Hadar tries the June special at Fort 19 - great satisfaction for a hard day,
436,Port 19,The Beit Halachmi generation,,12/01/2019,Fort 19 The Hasmoneans open a new year with a new special and a new addition,
437,Port 19,Roi Yosifon,,23/07/2018,A maddening special along with the World Cup - has the ultimate combination been found?,
438,Port 19,Yuval Schkoller,,01/01/2018,Yuval Schkoller falls badly in love with this month's special of the Port 19 Hasmoneans,
439,C 17,Maayan d.,1.0,23/03/2022,"The atmosphere is really good! I planned to take but as soon as I entered I decided to sit in the place. The service is courteous, the people are charming and the food is delicious. Although I ate the quinoa salad (which was delicious and came quickly) but the menu is rich and very varied! I enjoyed very much.",5.0
440,C 17,Shimon C.,4.0,27/08/2020,"Really delicious food, variety, and desserts .... too bad to talk about it just run and taste. The following menus are recommended for a couple: - Tasting (3 types of dishes) - Dish plate (which is different from types of desserts in one plate) We were with the family and even the meat eaters enjoyed the vegan meal. And the service is charming, kind and open to the ideas of those who want to change from what is written 😍",5.0
441,C 17,Naomi A.,1.0,11/05/2020,"I fell in love with the food !! The staff was really nice and flowing ~ the food was amazing and delicious, we could not sit because of the plague but it is walking distance from the sea🖤 The coolest bonus in my experience there is when they noticed I ordered something not left much just put me an amazing stew on the side for free🖤🖤🖤 long ago That I did not enjoy food like that! Thank you very much!",5.0
442,C 17,Yael N.,7.0,01/03/2021,"We were around and searched for a vegan restaurant on Google, J17 was the closest, we gambled and this time the bet was very successful! Small and sweet place, good atmosphere, smiling and sociable staff a bit slow but not too much. And ..... the food wow !! Far beyond expectations! Insanely delicious. We ate 😊😊 waiting to order again there.",5.0
443,C 17,Yaron H.,2.0,17/01/2021,"Innovative dishes and from-to-and-to !! I did not come across a dish that I did not go crazy over. Highly recommend the soups and falafel !! And the most fun is that the prices are really really affordable for everyone. pleasure! Too bad you can not rank higher (written by a chef's partner who prepares vegan food, and eats fine food every day)",5.0
444,C 17,Do s.,2.0,26/08/2021,"I am not vegan, and usually do not eat in places like this, but the food was beyond expectation !!! excellent service. The owner of the place himself checks if the customers are satisfied. Just a lovely place to get to eat a light but satisfying meal, at any hour of the day",5.0
445,C 17,Vince S.,1.0,24/12/2021,"We arrived by chance and were welcomed, the food was very tasty and the service courteous. Excellent food, Israeli boutique beers and very tasty. For sure we will be back :)",5.0
446,C 17,Fall to.,8.0,14/01/2022,Excellent attitude! Excellent service and thoroughly enjoy the experience of the restaurant! - There are endless options of different and varied foods. Fun :),5.0
447,C 17,Iris R.,5.0,19/10/2021,"Pleasant and warm atmosphere, excellent service, very tasty food and fair prices. Highly recommend the soy patties in tomato sauce",5.0
448,C 17,Zeev F.,6.0,23/02/2020,"We arrived on a Sunday evening and the restaurant was empty, we were a little apprehensive but decided to give it a chance following the good reviews. Very glad we decided to stay anyway, great food, good atmosphere and great service. recommended!!",5.0
449,C 17,Elad b.,2.0,18/02/2022,"Excellent and courteous service, flexible and attentive. Even more excellent food",5.0
450,C 17,Amir S.,7.0,28/02/2022,Excellent food and really reasonable prices. It is highly recommended,5.0
451,C 17,Thanksgiving from.,5.0,15/02/2021,Yesterday I ate there for the first time and it was excellent! The food - delicious and great spiced! We were welcomed and even pampered in Malby at the expense of the house🤗 I will be back.,5.0
452,C 17,Roni E.,1.0,04/08/2021,"Delicious food, great prices, (the patties in tomato sauce are really delicious), great service, and a lovely place that is fun to sit in.",5.0
453,C 17,Dana b.,1.0,18/11/2021,Wow !!! Wonderful food and lovely service! We will definitely be back again! A vegan paradise,5.0
454,C 17,EDEN D.,1.0,13/01/2022,"Cozy place, homely atmosphere, good people and delicious food",5.0
455,C 17,Aviv N.,1.0,27/05/2021,"Yesterday I ate here with Orit, we arrived right before the closing and still let us order when the rest of the places in the area closed. I really liked the dish I ordered, and she liked it less. The owner of the place (in my opinion), Assaf, noticed this, offered her to replace the dish for free, but she did not want to, and said she did not have to pay for it, and gave us a free dessert! The staff was really nice, the atmosphere was really good, the menu was really varied and good and we both really enjoyed it, highly recommend!",4.0
456,C 17,Ofer G.,1.0,17/07/2020,Cuba beet excellent and a must !! very high level. The service is courteous and makes you want to come back again on occasion. The owner of the restaurant also asked to hear a review and this shows the seriousness of the place. In my opinion the cheesecake needs improvements and upgrades was too hard.,4.0
457,C 17,Rachel A.,6.0,24/02/2022,Excellent food Excellent service,5.0
458,C 17,Shir N.,1.0,08/09/2021,"The menu is varied and the food is excellent, especially the shawarma seitan. We also enjoyed amazing service :)",5.0
459,C 17,Michael K.,2.0,12/11/2019,"Non vegan, I ate the shawarma seitan, it was really nice. Good prices, very pleasant service, the food is healthy and to my surprise also delicious. Will definitely eat there again.",5.0
460,C 17,Nili H.,2.0,01/12/2021,"Excellent service, homely and delicious food, fun atmosphere",5.0
461,C 17,Sigal S.,2.0,24/11/2019,"Wonderful homemade food, bomb soup lentils, the most delicious I have eaten .. Generous dishes, good prices, courteous service. A warm home for vegans. recommended!!",5.0
462,C 17,Nadav S.,18.0,30/01/2022,Wonderful,5.0
463,C 17,Ifat S.,1.0,16/06/2020,There was great food for those who like variety and the service is really amazing Highly recommend to anyone who likes and is open to new delicacies,5.0
464,C 17,Nama r.,1.0,28/08/2020,Not tasty food. There is no order in the food. Leaving after 3 hours. Half of the menu does not exist. Book a place - no reference (no problem saying it is not possible but it is not said). There is no reference to changes in dishes like asking for vegetables on the side. And most importantly - there is a couple of owners who never stop lying to you in the face.,1.0
465,C 17,Ofir T.,3.0,07/10/2019,"A charming place, quiet, clean of papers and delicious (!) Kosher and vegan, good prices and really really seen served with love. More the better!",5.0
466,C 17,Jessy N.,42.0,26/08/2020,All the dishes we ordered were very tasty for me. For those of us who were not vegetarian or vegan there were fewer options there were dishes that were too salty (chips and quinoa salad) also forgot to bring us a drink 🤐 Despite everything I will come back again😁,4.0
467,C 17,Ювал Г.,5.0,17/07/2018,"Also recommend for non-vegans. The ""shawarma"" chickpeas were very tasty and not far from the meaty taste and texture. The service was courteous, sociable and pretty fast.",5.0
468,C 17,Michal Z.,4.0,17/08/2021,"Amazing service! Delicious food, fun to sit on !!",5.0
469,C 17,Yoav c.,1.0,29/07/2020,A homely restaurant with a good atmosphere gives excellent service and the food is healthy and delicious,5.0
470,C 17,Ural a.,1.0,09/07/2020,"The food is really delicious, the meals are satisfying. But the dessert does not match its price. A dessert that costs 28 shekels I would expect something a little bigger. I'm personally talking about the termiso",4.0
471,C 17,Shosh P.,1.0,12/06/2020,I ordered tofu patties in tomato sauce on a bed of mashed roots at takeaway and it was delicious.,4.0
472,C 17,Jacob c.,2.0,03/08/2021,The food and service are excellent,5.0
473,C 17,Ron G.,1.0,19/08/2020,"Wonderful restaurant, delicious food and great service, I will definitely be back there!",5.0
474,C 17,Noga L.,1.0,18/12/2020,excellent service. tasty food. Worth ! Good value,5.0
475,C 17,ilanit e.,2.0,03/01/2020,Excellent! Highly recommended in all respects. Waiting for next time. Thank you🙏,5.0
476,C 17,Yuval K.,4.0,26/03/2021,Healthy and delicious food and lovely people !!,4.0
477,C 17,Larisa M.,1.0,24/03/2021,Lovely place with good food,5.0
478,C 17,May B.,106.0,28/11/2020,Lovely place! Amazing food! Recommend!,5.0
479,C 17,Benaya Y.,8.0,13/08/2020,Excellent place pampering delicious nice healthy recommended !!,5.0
480,C 17,Chickpeas a.,1.0,26/04/2020,Very tasty kosher homemade food and great prices.,5.0
481,C 17,Mrs. N.,1.0,13/02/2020,"The food was wonderful, this was my first time at a vegan restaurant. But the service was delusional ... we served ourselves, we got half a dish ... it was written that the dish includes a variety of salads and drinks, when we asked to pay, we asked him to reduce the price because we did not get salads and drinks - so he said it was not he did not want to bring, just no .. And he did not understand why he had to tell me this when I chose the dish ... and made me feel like I was delusional ...",3.0
482,C 17,Roy C.,1.0,21/06/2020,Great food and great staff!,5.0
483,C 17,Yaron B.,2.0,02/07/2020,Excellent vegan food,5.0
484,C 17,Itzik H.,18.0,23/11/2020,perfect!,5.0
485,C 17,Moshe Z.,3.0,01/11/2019,"Really tasty and homey, inexpensive. Worth!",5.0
486,C 17,Elad H.,3.0,09/06/2020,It is highly recommended,5.0
487,C 17,the c.,14.0,20/11/2019,"Really tasty, cheap and pleasant",5.0
488,C 17,Omer C.,1.0,24/06/2020,Excellent,5.0
489,A place of meat,Shir S.,2.0,23/03/2019,"I do not usually respond but really must pargan, always comes in at an insanely high level and worth the money, recommends sitting at the bar so amazing service that we choose to sit even when a little free, and not give up the cookies at the end :)",5.0
490,A place of meat,Maayan A.,1.0,24/10/2021,"We booked a place for last Thursday at 23:30 at night via the internet and received a booking confirmation which explicitly states that the table will be reserved for us for a quarter of an hour. We drove an hour from the north and lingered in traffic jams, when we called to announce that we would arrive at 23:37 (7 minutes late total) we were told we had nothing to get to and we would return home! The hostess who spoke to us was just dismissive, did not apologize even once and repeated again and again that if we arrived after 23:30 she would not let us into the restaurant. Just insolence, we were shocked after 15 minutes of phone call where they did not apologize for the situation or let us talk to someone normal and polite even once, recommend not to approach !!! We have never encountered such contempt",1.0
491,A place of meat,Gabi d.,2.0,09/03/2022,Excellent every mouth re,5.0
492,A place of meat,Lydia Y.,2.0,08/04/2021,Extremely disappointing !!! I booked a place for my partner's birthday half an hour before our arrival they canceled us and claimed they had a mistake in the orders we came from the north to the center for this restaurant a disrespectful service does not recommend at all.,1.0
493,A place of meat,Karin picture.,5.0,11/06/2019,"My husband and I stayed at a restaurant yesterday and I want to tell you it was just perfect! Beyond the food which was really delicious, their service is excellent! warmly recommended!!! 😍😍",5.0
494,A place of meat,Chen S.,121.0,04/03/2019,"The best meat restaurant in town !!! A perfect fillet steak in every way. Plus worth taking the biscuit cake, it's better than my mom's (which is rare) :)",5.0
495,A place of meat,Orit I.,6.0,31/07/2016,"Very tasty, kind and relaxed ... relaxed and decorated with elegant simplicity .. great waitresses .. the dessert was accurate and the waitress' recommendation was fine. Slightly expensive but was worth it (:",5.0
496,A place of meat,Matan R.,16.0,22/10/2019,Cute place especially slow service Plain meat has no special taste and huge bill,3.0
497,A place of meat,Ofer C.,1.0,15/04/2019,"Excellent place, best quality meat, the staff is talented in levels (we sat at the bar and saw the amazing dessert preparation) recommend to every carnivore ...",5.0
498,A place of meat,pray to,1.0,09/11/2019,Nice,3.0
499,A place of meat,My uncle H.,1.0,10/07/2020,We enjoyed every moment! Excellent meat! Amazing service Good atmosphere We will return at the first opportunity 😁,5.0
500,A place of meat,Sharon T.,2.0,08/09/2019,"We sat a couple at the bar (after booking in advance) an amazing, delicious place! With a high level of service. highly recommend!!!",5.0
501,A place of meat,Meir K.,20.0,12/08/2019,All the dishes were excellent. Except for the truffle burger it was a bit crumbly and dry (dish in Fischel) Highly recommended restaurant,5.0
502,A place of meat,Kobe b.,2.0,04/06/2021,"Excellent, quality meat, courteous service",5.0
503,A place of meat,Jonathan D.,16.0,12/03/2018,"Great place, the meat even more recommends the kebab in the most delicious heat I have ever eaten👌🏻😃👍🏻👍🏻👍🏻👍🏻👍🏻",5.0
504,A place of meat,Dror A.,1.0,17/07/2019,There is no place to park the car We could not get to the place after searching for parking for half an hour,2.0
505,A place of meat,Sara G.,2.0,22/07/2020,"We really enjoyed it, the food is very tasty and the service is very good",5.0
506,A place of meat,Mikel G.,3.0,05/07/2019,Wow amazing food service 10 and most importantly a shell atmosphere and well done to mine,5.0
507,A place of meat,Tal D.,1.0,26/05/2019,"Great place and service, a bit high prices",4.0
508,A place of meat,Eric G.,2.0,24/12/2017,"Excellent meat, well made, tender and tasty. The wait is a bit long for food but delicious. A little expensive .",5.0
509,A place of meat,cake t,2.0,11/06/2019,It was nice. Excellent entrecote,4.0
510,A place of meat,Unaeva G.,8.0,31/01/2018,"Excellent restaurant. Very high quality and juicy meat, made just right. I relished every bite",5.0
511,A place of meat,Gal L.,4.0,22/08/2017,Excellent place Very very high standard Excellent service High quality meat Just a pleasure of a place,5.0
512,A place of meat,of b.,7.0,17/07/2019,"Good and clean place, excellent meat. The service is courteous 👌",5.0
513,A place of meat,Yafa E.,1.0,22/10/2019,Quality restaurant Excellent service Excellent food,5.0
514,A place of meat,She B.,1.0,30/08/2017,Excellent food. Very courteous service. It is recommended to arrive at business meals,5.0
515,A place of meat,One picture.,6.0,08/12/2019,Very tasty! excellent service!,5.0
516,A place of meat,Joseph Z.,3.0,24/12/2018,Excellent steaks. A place that knows how to handle meat !!!,5.0
517,A place of meat,die to,1.0,03/06/2018,"Great quality food, delicious and fine, excellent service !!",5.0
518,A place of meat,Morel K.,3.0,05/06/2019,Just perfect in one word !!!!!.,5.0
519,A place of meat,Last stage H.,128.0,24/02/2019,Great steaks! Highly recommend,5.0
520,A place of meat,Asif A.,2.0,30/09/2017,Steak on another level !! Thank you for moments of happiness,5.0
521,A place of meat,Avi B.,3.0,04/11/2019,Great service,5.0
522,A place of meat,Dan H.,2.0,20/12/2018,A very worthwhile and delicious place,5.0
523,A place of meat,Danielle B.,2.0,20/09/2019,perfect,5.0
524,A place of meat,Tuval c.,2.0,11/02/2018,Amazing meat among the best I have eaten,5.0
525,A place of meat,Donna n.,3.0,21/09/2017,"Fine and excellent food, excellent service",5.0
526,A place of meat,Sofia M.,1.0,22/10/2017,tasty. Excellent service,5.0
527,A place of meat,Shay and.,1.0,19/11/2017,tasty,5.0
528,A place of meat,Omar Schubert,,19/10/2016,"When there is no real competition around the ""place of meat"" they will continue to serve reasonable steaks and mediocre toppings",
529,Citizen,Gabi A.,7.0,08/12/2021,"Excellent cafe The owners and staff are nice. A clean and well-kept place. tasty food . In short, a pleasant experience worth every shekel ️🙏",5.0
530,Citizen,Antei A.,28.0,08/09/2021,"Finally something delicious and comforting, next week we will jump in to visit and also snack on something new hope to be open (not in renovations), professional and charming staff",5.0
531,Citizen,Ofir H.,1.0,05/08/2020,A stunning place that is not eye-catching on the outside but dreamy on the inside with the most special and delicious drinks available !!,5.0
532,Citizen,Roni b.,4.0,10/01/2019,An amazing experience. The food is both healthy and fun on the soul and also delicious and delightful. The atmosphere is good and the dishes are very large,5.0
533,Citizen,shelly r.,2.0,07/11/2018,Varied and delicious food. excellent service,5.0
534,Citizen,Bina S.,1.0,31/01/2018,"A restaurant that serves sandwiches and on them found simple, as I do for myself at home is not called a restaurant, amateur and unprofessional. Tasteless, and as for what is served in a bowl came out of a can ...",1.0
535,Citizen,Ariel Blumer,,23/01/2022,The forest in the heart of the city,
536,Babette,hannit c.,13.0,01/11/2021,"Was as always exceptional. The food is delicious, the atmosphere is pleasant and the owner of the place is really charming",5.0
537,Babette,cnect1,1.0,10/09/2021,"Food is delicious but the service is really bad, and the food comes after a long time. They only have about 2 Belgian waffle machines when that's all the business is built on. We got the dish after 45 min. They write the account on a scribbled page. The water in the jug at the temperature of tea.",1.0
538,Babette,Ayala F.,4.0,16/01/2020,"A small and charming place. There are sweet and savory Belgian waffles, and both types are excellent. The atmosphere is really warm and pleasant, and the service is excellent. We really enjoyed it, sure to come back again!",5.0
539,Babette,Matan C.,3.0,17/04/2021,"Not anything at all, small waffle industrial sauces, we waited 40 minutes to get the waffle and was reasonable minus we did not finish it despite its size.",2.0
540,Babette,Rose to.,3.0,05/12/2016,"Lovely! A warm and homely place with great waffles. For those who care, the place is kosher and not open on Shabbat, but they do not have a kosher certificate. They seem to be reliable in this regard.",5.0
541,Babette,Ayelet R.,1.0,10/06/2021,A homely place with the best Belgian hops there is!,5.0
542,Babette,Ester S.,1.0,07/01/2018,"This waffle, made by Homemade is really tasty and has a warm and homely feeling there and not just eating pleasant people, highly recommended.",5.0
543,Babette,Roi K.,1.0,11/12/2019,"Good service, great chocolate. Establishes a pleasant and cozy",4.0
544,Babette,Ayala na.,9.0,19/08/2019,The most delicious waffle in the country!,4.0
545,Babette,Halo c.,1.0,11/01/2020,The best waffle in the universe that is always fun to come back to. A place that is a house 🏡,5.0
546,Babette,Liad e.,16.0,23/09/2020,Worth,5.0
547,Babette,my age b.,3.0,05/07/2019,"Excellent service, was really tasty",5.0
548,Babette,Roy Z.,1.0,05/12/2018,"Admittedly a ""home experience"" but poor quality food minus..sourished sauce (contains lumps), dough is not well prepared and my uncle and I did not enjoy it at all",1.0
549,Babette,menzin m.,1.0,26/01/2015,Just super tasty and very good quality good place and crowded and a little expensive drinks,5.0
550,Babette,Omari I.,8.0,28/11/2018,"Just amazing, an experience for mind and stomach.",5.0
551,Babette,Limor b.,1.0,19/11/2017,Although small and crowded but great atmosphere.,5.0
552,Babette,Novel Y.,4.0,12/08/2019,Delicious murder,5.0
553,Babette,Elden Z.,3.0,23/02/2019,Stunning!!!!,5.0
554,Babette,Vladislav G.,8.0,12/11/2017,"Round of business, five explosives",5.0
555,Babette,Using h.,1.0,14/04/2016,Excellent! The most delicious waffles there are. recommended,5.0
556,Babette,Tamir A.,7.0,13/12/2017,Excellent. Just a little crowded,5.0
557,Babette,Omar Schubert,,02/01/2018,"Babett's Celebration: Overall a waffle, but the best there is",
558,Pankina,David C.,2.0,31/08/2021,"Excellent! A modest and beautiful Italian restaurant in Tel Aviv, wonderfully romantic and nice. The hosts and waiters are kind and nice, fun and friendly service, just perfect. The prices are very reasonable, and even a little cheaper than expected from such a restaurant. The location is close to a main street, A celebration of flavors. For the first courses we ordered arancini and focaccia with a dip, very tasty and open the meal properly. And full of cheese that stretches from end to end, just a pleasure! Plus the parmesan is just wow! Unique, I haven't enjoyed this cheese like that in a long time. So what are you waiting for?",5.0
559,Pankina,Yasmin H.,2.0,03/05/2022,"Really delicious food. Dishes are mediocre, service is courteous.",4.0
560,Pankina,Einat A.,2.0,20/10/2021,"The restaurant is in a charming place with courteous service and excellent food in the background, songs of Israel and melodies are played on the piano. We had a great time and of course we will return.",4.0
561,Pankina,Mor Y.,5.0,03/05/2022,Delicious in shell service levels,5.0
562,Pankina,Anna K.,1.0,05/04/2022,"Pleasant restaurant, quiet atmosphere, delicious food, I enjoyed every bite",5.0
563,Pankina,David O.,2.0,29/07/2021,"Amazing experience, courteous and very pleasant service, high quality and delicious food. Very reminiscent of the atmosphere of Italy 😇 Highly recommend and will definitely be back there !!",5.0
564,Pankina,Matan F.,1.0,03/01/2022,Kind and modest but overrated,3.0
565,Pankina,ariela s.,5.0,14/05/2021,"Fresh authentic Italian food, very tasty We have visited several times and also invited home, the landlord is kind and welcoming. From now on this is my favorite restaurant. ️",5.0
566,Pankina,Beloved K.,7.0,30/08/2021,"We arrived at the place thanks to Izzy Achla, a very tasty place to eat, the delicacy is felt in every dish and excellent service and reasonable price. We had a great time",5.0
567,Pankina,Refaël B.,4.0,03/05/2022,"High quality, pleasant, delicious! Expensive",4.0
568,Pankina,Yarden L.,2.0,02/12/2021,"Excellent service and very tasty dishes, but a little small (focaccia for example)",4.0
569,Pankina,Yael b.,1.0,04/01/2022,A sweet and pampering Italian restaurant. Warm atmosphere and homey food. Highly recommend,5.0
570,Pankina,Benny B.,4.0,10/09/2021,"When returning to this restaurant for the fifth time, there is no need for more words just a stunning sigh of relief in the service, food and atmosphere",5.0
571,Pankina,Poetry b.,3.0,23/11/2021,tasty!,4.0
572,Pankina,Noemie B.,6.0,23/12/2021,Listen amazing here .... the most delicious arcino in the world !!!!!!!! Tiramisu end. A.,5.0
573,Pankina,Nicole D.,1.0,10/08/2021,"It was amazing! Personal and pleasant service, we listened to the recommendations of the place and enjoyed every bite. Very worthwhile business is highly recommended :)",5.0
574,Pankina,yehonatan d.,1.0,10/08/2021,"Excellent service, the food is just wonderful and special, we celebrated a girls birthday and all the staff participated in the celebration. warmly recommended!",5.0
575,Pankina,plan B.,7.0,28/02/2022,"Excellent, charming and wonderful :))",5.0
576,Pankina,Gal a.,1.0,25/10/2021,Delicious food on the levels! Lovely service and reasonable prices .. We really enjoyed it !!,5.0
577,Pankina,Fig. A.,1.0,21/06/2021,"A place with insanely delicious food, I have been there several times amazing people and great atmosphere",5.0
578,Pankina,Rooney Z.,1.0,10/08/2021,There was an amazing and excellent service and I was sitting there with friends and it was perfect,5.0
579,Pankina,Raphael m.,1.0,03/12/2021,Good atmosphere Excellent service and very tasty Thank you,5.0
580,Pankina,Annaelle B.,1.0,21/06/2021,Excellent Italian food Authentic Excellent atmosphere Tip to take a must-have Arancini,5.0
581,Pankina,Yakov L.,5.0,11/06/2021,"Good atmosphere, good food, great service! Most importantly a kosher restaurant",5.0
582,Pankina,Or S.,2.0,15/07/2021,They just did not give us an option to enter the restaurant. shocking,1.0
583,Pankina,Dikla to.,1.0,23/09/2021,"Courteous service, delicious food we really enjoyed! recommended",5.0
584,Pankina,leather for.,6.0,03/09/2021,Great prices and service and the food is very tasty :),5.0
585,Pankina,Sarah H.,2.0,07/07/2021,Great restaurant Excellent service Delicious and fresh food,5.0
586,Pankina,Zvi L.,1.0,12/05/2021,Great food. Great service and fair prices. Thanks!,5.0
587,Pankina,Palm m.,3.0,28/10/2021,👌🏻👌🏻👌🏻,5.0
